field,example,convert,unit,template
demographic.country_of_residence_at_enrollment,Russia,,,
demographic.gender,female,,,
demographic.race,white,,,
demographic.sex_at_birth,female,,,
diagnoses[].age_at_diagnosis,28272.0,days_to_years,years,
diagnoses[].ajcc_pathologic_m,M0,,,
diagnoses[].ajcc_pathologic_n,N0,,,
diagnoses[].ajcc_pathologic_t,T3,,,
diagnoses[].diagnosis_is_primary_disease,true,,,
diagnoses[].icd_10_code,C18.7,,,
diagnoses[].morphology,8140/3,,,
diagnoses[].pathology_details[].lymph_nodes_positive,0.0,int,count,
diagnoses[].pathology_details[].lymph_nodes_tested,8.0,int,count,
diagnoses[].pathology_details[].lymphatic_invasion_present,No,,,
diagnoses[].pathology_details[].non_nodal_tumor_deposits,No,,,
diagnoses[].pathology_details[].perineural_invasion_present,No,,,
diagnoses[].pathology_details[].vascular_invasion_present,No,,,
diagnoses[].primary_diagnosis,"Adenocarcinoma, NOS",,,
diagnoses[].prior_malignancy,no,,,
diagnoses[].prior_treatment,No,,,
diagnoses[].residual_disease,R0,,,
diagnoses[].site_of_resection_or_biopsy,Sigmoid colon,,,
diagnoses[].synchronous_malignancy,No,,,
diagnoses[].tissue_or_organ_of_origin,Sigmoid colon,,,
diagnoses[].treatments[].therapeutic_agents,Bevacizumab,,,
diagnoses[].treatments[].treatment_type,"Pharmaceutical Therapy, NOS",,,
family_histories[].relative_with_cancer_history,no,,,
follow_ups[].disease_response,TF-Tumor Free,,,
follow_ups[].molecular_tests[].test_result,Negative,,,
follow_ups[].molecular_tests[].test_value,3.25,,,
follow_ups[].other_clinical_attributes[].bmi,22.8,,,
follow_ups[].other_clinical_attributes[].height,170.0,int,cm,
follow_ups[].other_clinical_attributes[].timepoint_category,Initial Diagnosis,,,
follow_ups[].other_clinical_attributes[].weight,66.0,int,kg,
follow_ups[].timepoint_category,Follow-up,,,
